dialogID,ppl,position,type,model
32,6.73371597404258,1,compressed,LSTM
32,4.8799285204989,2,compressed,LSTM
32,9.43878955986131,3,compressed,LSTM
32,8.28818667824292,4,compressed,LSTM
32,6.2805745902513,5,compressed,LSTM
32,5.48120876934388,6,compressed,LSTM
32,6.13890851030191,7,compressed,LSTM
32,4.7671487766099,8,compressed,LSTM
32,6.36580125301344,9,compressed,LSTM
32,5.58724545366883,10,compressed,LSTM
32,4.0148136215625,11,compressed,LSTM
32,7.9672874170606,12,compressed,LSTM
32,6.46860532832842,13,compressed,LSTM
32,5.84080283670315,14,compressed,LSTM
32,7.25980069502652,15,compressed,LSTM
33,7.79580499407966,0,compressed,LSTM
33,4.8681678610946,1,compressed,LSTM
33,3.84615715654136,2,compressed,LSTM
33,4.02359217054064,3,compressed,LSTM
33,4.41130023197262,4,compressed,LSTM
33,3.55342917880694,5,compressed,LSTM
33,4.13568879967437,6,compressed,LSTM
33,4.39878291023398,7,compressed,LSTM
33,6.42859750633202,8,compressed,LSTM
33,4.41442025772921,9,compressed,LSTM
33,6.9916149445091,10,compressed,LSTM
33,5.40481032076742,11,compressed,LSTM
